id,code,name,chart_template_id/id,user_type_id/id,tag_ids/id,group_id/id,reconcile
ac_1020704,1.02.07.04,OTRAS INVERSIONES ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_assets,account.account_tag_investing,l10n_ec_oodca.group_10207,False
ac_1020705,1.02.07.05,(-) PROVISIÓN VALUACIÓN DE INVERSIONES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_assets,account.account_tag_investing,l10n_ec_oodca.group_10207,False
ac_1020706,1.02.07.06,OTROS ACTIVOS NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_assets,account.account_tag_investing,l10n_ec_oodca.group_10207,False
ac_20101,2.01.01,PASIVOS CORRIENTES FINAN.VALOR RAZON.CON CAMBIOS RESULTADOS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_20102,2.01.02,PASIVOS CORRIENTES POR CONTRATOS DE ARRENDAMIENTO FINANCIEROS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_2010301,2.01.03.01,CXP CORRIENTES LOCALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_20103,True
ac_2010302,2.01.03.02,CXP CORRIENTES EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_20103,True
ac_2010303,2.01.03.03,CXP CORRIENTES EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_20103,True
ac_201040101,2.01.04.01.01,PRÉSTAMO BANCARIO NO 1,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_2010401,False
ac_201040111,2.01.04.01.11,TARJETA DE CRÉDITO NO 1,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_credit_card,account.account_tag_operating,l10n_ec_oodca.group_2010401,False
ac_2010402,2.01.04.02,OBLIGACIONES CORRIENTES CON INSTITUCIONES FINAN.EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20104,False
ac_2010501,2.01.05.01,PROVISIONES CORRIENTES LOCALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20105,False
